Group,Block,Day,ID,Family,Mass
1,,3,,,4.54
2,,3,,,4.818
3,,3,,,5.085
4,,3,,,5.122
5,,3,,,5.669
6,,3,,,5.73
7,,3,,,5.869
8,,3,,,6.136
9,,3,,,6.228
10,,3,,,6.781
1,,6,,,34.7
2,,6,,,43.46
3,,6,,,33.38
4,,6,,,40.36
5,,6,,,35.73
6,,6,,,29.46
7,,6,,,26.24
8,,6,,,22.89
9,,6,,,36.57
10,,6,,,28.25
1,,9,,,125.44
2,,9,,,110.94
3,,9,,,140.61
4,,9,,,95.43
5,,9,,,110.07
6,,9,,,99.58
7,,9,,,94.55
8,,9,,,107.71
9,,9,,,106.2
10,,9,,,119.04
,2,1,48,9,0.132
,2,1,78,11,0.242
,2,1,76,11,0.259
,2,1,94,12,0.276
,2,1,64,10,0.32
,2,1,74,11,0.325
,2,1,12,7,0.327
,2,1,10,7,0.336
,2,1,14,7,0.346
,2,1,90,12,0.375
,2,1,92,12,0.381
,2,1,32,8,0.389
,2,1,58,10,0.393
,1,1,80,5,0.41
,1,1,62,4,0.411
,2,1,96,12,0.423
,1,1,58,4,0.436
,1,1,64,4,0.446
,2,1,46,9,0.451
,1,1,78,5,0.462
,1,1,74,5,0.471
,2,1,26,8,0.473
,2,1,16,7,0.479
,2,1,28,8,0.511
,2,1,44,9,0.52
,1,1,60,4,0.52
,1,1,26,2,0.529
,1,1,76,5,0.562
,1,1,94,6,0.575
,1,1,96,6,0.578
,3,1,272,17,0.579
,1,1,42,3,0.622
,2,1,62,10,0.627
,1,1,46,3,0.648
,3,1,302,19,0.661
,1,1,48,3,0.673
,1,1,44,3,0.692
,1,1,92,6,0.76
,3,1,304,19,0.775
,1,1,90,6,0.821
,3,1,254,16,0.853
,1,1,30,2,0.903
,3,1,300,19,0.937
,3,1,318,20,1
,3,1,266,17,1.047
,3,1,252,16,1.094
,3,1,270,17,1.129
,3,1,256,16,1.132
,3,1,268,17,1.196
,3,1,316,20,1.376
,2,1,91,12,0.135
,2,1,75,11,0.208
,2,1,77,11,0.266
,1,1,63,4,0.282
,2,1,45,9,0.306
,2,1,9,7,0.336
,2,1,15,7,0.348
,2,1,93,12,0.366
,2,1,79,11,0.368
,1,1,57,4,0.376
,2,1,95,12,0.38
,2,1,13,7,0.394
,2,1,73,11,0.395
,2,1,31,8,0.409
,1,1,77,5,0.417
,2,1,41,9,0.45
,2,1,11,7,0.456
,2,1,29,8,0.467
,1,1,43,3,0.472
,3,1,303,19,0.472
,1,1,79,5,0.494
,1,1,61,4,0.508
,2,1,47,9,0.519
,2,1,43,9,0.549
,1,1,95,6,0.557
,3,1,301,19,0.565
,3,1,297,19,0.605
,2,1,63,10,0.609
,2,1,27,8,0.611
,1,1,91,6,0.617
,1,1,75,5,0.651
,3,1,299,19,0.683
,1,1,29,2,0.688
,1,1,25,2,0.694
,2,1,25,8,0.815
,3,1,267,17,0.823
,3,1,265,17,0.838
,1,1,47,3,0.861
,3,1,255,16,0.927
,3,1,317,20,0.944
,1,1,31,2,0.966
,3,1,249,16,0.979
,3,1,251,16,1.104
,3,1,315,20,1.157
,3,1,269,17,1.166
,3,1,319,20,1.433
,3,1,313,20,1.453
,3,1,253,16,1.508